Episode,"Episode URL","Media URL","Release Date",Downloads,Date,"Average Downloads of Last 50 Episodes","Compare to Average"
"Ephesians 6:10-18, Stand Up In the Battle (10th Edition) | 2025 Specials",https://broJacobcedargrovebaptist.podbean.com/e/stand-up-in-the-battle-10th-edition-25-specials/,https://mcdn.podbean.com/mf/web/fnnmwp8mvzvb2uat/11306a01b.mp3,2025-11-30,0,"day1 - day7",7,-100%
"Romans 9:25-33, Unexplainable Mercy Pt. 5 | Romans Chapter 9",https://broJacobcedargrovebaptist.podbean.com/e/romans-925-33-unexplainable-mercy-pt-5-romans-chapter-9/,https://mcdn.podbean.com/mf/web/82mm2gn969aaixty/51_Romans_9_25-33_Unexplainable_Mercy_Pt_5_251221_0.mp3,2025-12-21,18,"day1 - day7",7,157.14%
"Romans 9:1-5, Unexplainable Mercy Pt. 1 | Romans Chapter 9",https://broJacobcedargrovebaptist.podbean.com/e/unexplained-mercy-pt-1-romans/,https://mcdn.podbean.com/mf/web/8jrrhsjd9tngk7qm/1116_PCb9a76.mp3,2025-11-16,6,"day1 - day7",7,-14.29%
"Romans 9:14-20, Unexplainable Mercy Pt. 3 | Romans Chapter 9",https://broJacobcedargrovebaptist.podbean.com/e/hgliyuhb/,https://mcdn.podbean.com/mf/web/qbhkhc32nui5dsuz/12079cno0.mp3,2025-12-07,12,"day1 - day7",7,71.43%
"Romans 9:19-24, Unexplainable Mercy Pt. 4 | Romans Chapter 9",https://broJacobcedargrovebaptist.podbean.com/e/asdfasdf/,https://mcdn.podbean.com/mf/web/xpnmxpq7a7saq6h8/Romans_9_19-24_Unexplainable_Mercy_Pt_4_251214_0auhuf.mp3,2025-12-14,10,"day1 - day7",7,42.86%
"Romans 8:31-39, Are You Persuaded Pt. 2 | Romans Chapter 8",https://broJacobcedargrovebaptist.podbean.com/e/are-you-persuaded-pt-2-romans/,https://mcdn.podbean.com/mf/web/bczwezy2brdp4uk8/Working_1109PC62rnj.mp3,2025-11-09,12,"day1 - day7",7,71.43%
"Maintaining Integrity",https://broJacobcedargrovebaptist.podbean.com/e/maintaining-integrity/,https://mcdn.podbean.com/mf/web/pqej9t/02_Maintaining_Integritymp3awbqy.mp3,2023-10-01,0,"day1 - day7",7,-100%
"Worship Night Nov. 2, 2025 | 2025 Specials",https://broJacobcedargrovebaptist.podbean.com/e/worship-night-nov-2-2025/,https://mcdn.podbean.com/mf/web/728ufjgkwfrvmzb3/Working_1102WorshipPC9p24l.mp3,2025-11-02,10,"day1 - day7",7,42.86%
"Romans 8:31-39, Are You Persuaded Pt. 1 | Romans Chapter 8",https://broJacobcedargrovebaptist.podbean.com/e/are-you-persuaded-pt-1-romans/,https://mcdn.podbean.com/mf/web/dn22vutskbp82si6/1102PC8yqh3.mp3,2025-11-02,7,"day1 - day7",7,0%
"Romans 8:26-27, Pray Anyway... | Romans Chapter 8",https://broJacobcedargrovebaptist.podbean.com/e/asdfhjg/,https://mcdn.podbean.com/mf/web/c4bcfd4mfcqht5v9/1019PC9a4c8.mp3,2025-10-19,0,"day1 - day7",7,-100%
