Episode,"Episode URL","Media URL","Release Date",Downloads,Date,"Average Downloads of Last 50 Episodes","Compare to Average"
"Thou Art Inexcusable Pt. 2 | Romans",https://broJacobcedargrovebaptist.podbean.com/e/thou-art-inexcusable-pt-2-romans-21-16-b/,https://mcdn.podbean.com/mf/web/gs7wb982hkbianyz/06_16_24_Thou_Art_Inexcusable_Pt_29o27c.mp3,2024-06-16,5,"day1 - day7",7,-28.57%
"Thou Art Inexcusable Pt. 1 | Romans",https://broJacobcedargrovebaptist.podbean.com/e/90624-thou-art-inexcusable-pt-1/,https://mcdn.podbean.com/mf/web/jwzsrpwveh5cdbgd/9_06_24_Thou_Art_Inexcusable_Pt_18ndn5.mp3,2024-06-09,8,"day1 - day7",7,14.29%
"Results of the Merciful Wrath of God Pt. 2 | Romans",https://broJacobcedargrovebaptist.podbean.com/e/results-of-the-merciful-wrath-of-god-pt-2/,https://mcdn.podbean.com/mf/web/w8qfbeuejdf8u7de/06_02_04_Results_of_the_Merciful_Wrath_of_God_Pt_28gtj3.mp3,2024-06-02,2,"day1 - day7",7,-71.43%
"Result of the Merciful Wrath of God Pt. 1 | Romans",https://broJacobcedargrovebaptist.podbean.com/e/result-of-the-merciful-wrath-of-god/,https://mcdn.podbean.com/mf/web/uqit7qga4s6ys3ms/05_26_24_Results_of_the_Merciful_Wrath_of_God7qbip.mp3,2024-05-26,7,"day1 - day7",7,0%
"Gods Merciful Wrath Pt. 2 | Romans",https://broJacobcedargrovebaptist.podbean.com/e/gods-merciful-wrath-pt2/,https://mcdn.podbean.com/mf/web/8qxjv8td8pd6srg8/5_19_24_Gods_Merciful_Wrath_Pt2b8pvt.mp3,2024-05-19,5,"day1 - day7",7,-28.57%
"And Also, Some Women... | 2024 Specials",https://broJacobcedargrovebaptist.podbean.com/e/and-also-some-women/,https://mcdn.podbean.com/mf/web/jau7s7g8n438ywin/5_12_2024_And_Also_Some_Women9zgdp.mp3,2024-05-12,0,"day1 - day7",7,-100%
"Breaking the Mold of the Consumer Church | 2024 Specials",https://broJacobcedargrovebaptist.podbean.com/e/breaking-the-mold-of-the-consumer-church/,https://mcdn.podbean.com/mf/web/v9664desmujcia68/5_4_24_Breaking_The_Mold_Of_The_Consumer_Church83st9.mp3,2024-05-04,0,"day1 - day7",7,-100%
"God's Merciful Wrath Pt. 1 | Romans",https://broJacobcedargrovebaptist.podbean.com/e/gods-merciful-wrath-pt-1/,https://mcdn.podbean.com/mf/web/yc89bydun26y4dsj/4_28_24_Gods_Merciful_Wrath_Pt19k6h7.mp3,2024-04-28,4,"day1 - day7",7,-42.86%
"Is it I? | Romans",https://broJacobcedargrovebaptist.podbean.com/e/is-it-i/,https://mcdn.podbean.com/mf/web/xgpfvcnnx4yc4hzm/4_21_24_Is_It_I79nkg.mp3,2024-04-21,0,"day1 - day7",7,-100%
"How Are You Known Pt. 4 | Romans",https://broJacobcedargrovebaptist.podbean.com/e/where-do-your-passions-lie-pt1/,https://mcdn.podbean.com/mf/web/863era6saqe4e4db/4_14_24_Where_Do_Your_Passions_Lie_Pt19chuw.mp3,2024-04-14,0,"day1 - day7",7,-100%
"The Crossroads Of Calvary | 2024 Specials",https://broJacobcedargrovebaptist.podbean.com/e/thecrossroads-of-calvary/,https://mcdn.podbean.com/mf/web/h65ueptatrk8yicv/3_31_24_TheCrossroads_Of_Calvary6bk56.mp3,2024-03-31,0,"day1 - day7",7,-100%
"“Good People” On The Wrong Road",https://broJacobcedargrovebaptist.podbean.com/e/good-people-on-the-wrong-road/,https://mcdn.podbean.com/mf/web/ywm97vf7ckqu4nti/01_07_24_Good_People_On_The_Wrong_Road_pt170jlh.mp3,2024-01-07,0,"day1 - day7",7,-100%
"God's People On The Right Road",https://broJacobcedargrovebaptist.podbean.com/e/gods-people-on-the-right-road/,https://mcdn.podbean.com/mf/web/zxbt5u7p38btjsyu/1_14_24_God_s_People_on_The_Right_Roadbqbig.mp3,2024-01-14,0,"day1 - day7",7,-100%
"Do Not Allow Past Sin to Control Today",https://broJacobcedargrovebaptist.podbean.com/e/do-not-let-your-past-sins-control-you/,https://mcdn.podbean.com/mf/web/z9cdwmy4xj29qqfd/1_28_24_Expect_Victory_Pt_1_Do_Not_Allow_Past_Sin_to_Control_Today7tzur.mp3,2024-01-28,0,"day1 - day7",7,-100%
"Have A Mind to Work",https://broJacobcedargrovebaptist.podbean.com/e/have-a-mind-to-work/,https://mcdn.podbean.com/mf/web/b37rp5szmy3j58z5/2_04_24_Expect_Victory_Part_2_Have_a_Mind_to_Work6y35r.mp3,2024-02-04,0,"day1 - day7",7,-100%
"Be Productive and Protect",https://broJacobcedargrovebaptist.podbean.com/e/be-productive-and-protect/,https://mcdn.podbean.com/mf/web/2m3g6vdtaiuuc4ns/2_11_24_Expect_Victory_Part_3_Be_Productive_and_Protect91sby.mp3,2024-02-11,0,"day1 - day7",7,-100%
"Know Your Role Pt. 1 | Romans 1:1-7, A",https://broJacobcedargrovebaptist.podbean.com/e/romans-11-7-a-know-your-role-pt-1/,https://mcdn.podbean.com/mf/web/sgciiqr2e2xupwyv/2_18_24_Know_Your_Role_Pt_19atlq.mp3,2024-02-18,0,"day1 - day7",7,-100%
"Know Your Role Pt. 2 | Romans 1:1-7, B",https://broJacobcedargrovebaptist.podbean.com/e/romans-11-7-b-know-your-role-pt-2/,https://mcdn.podbean.com/mf/web/rqwhxxdxhukjdqnx/2_25_24_Know_Your_Role_Pt_2a44nw.mp3,2024-02-25,0,"day1 - day7",7,-100%
"Know Your Roll Pt. 3 | Romans 1:1-7, C",https://broJacobcedargrovebaptist.podbean.com/e/know-your-roll-pt-3/,https://mcdn.podbean.com/mf/web/3kvua9zemzxmcjyp/3_3_24_Know_Your_Role_Pt_3701n6.mp3,2024-03-03,0,"day1 - day7",7,-100%
"How Are You Known? Pt.1 | Romans 1:8-16, A",https://broJacobcedargrovebaptist.podbean.com/e/romans-18-15-how-are-you-known/,https://mcdn.podbean.com/mf/web/p92484n9ats6cmpq/3_10_24_Romans_18-15_How_Are_You_Known_Pt_1alt5o.mp3,2024-03-10,0,"day1 - day7",7,-100%
"Romans 1:8-16, B - How Are You Known? Pt. 2 | Romans",https://broJacobcedargrovebaptist.podbean.com/e/romans-116-in-everything/,https://mcdn.podbean.com/mf/web/hysgbnwqtzxx8fjj/3_24_24_Romans_18-16_How_Are_You_Known_Pt2b1ngu.mp3,2024-03-24,0,"day1 - day7",7,-100%
"How Are You Known? Pt. 3 | Romans",https://broJacobcedargrovebaptist.podbean.com/e/romans-18-16-c-how-are-you-known-pt3/,https://mcdn.podbean.com/mf/web/5i2qu7q4m47xzddk/4_7_24_How_Are_You_Known_Pt393j4c.mp3,2024-04-07,5,"day1 - day7",7,-28.57%
"Heavenly Portfolio",https://broJacobcedargrovebaptist.podbean.com/e/heavenly-portfolio/,https://mcdn.podbean.com/mf/web/fyw6mm/Heavenly_Portfolio8mnz9.mp3,2023-12-31,8,"day1 - day7",7,14.29%
"The Backslidden Prophet",https://broJacobcedargrovebaptist.podbean.com/e/the-backslidden-prophet/,https://mcdn.podbean.com/mf/web/v6d6n9/230813_Audio_Enhanced.mp3,2023-08-13,0,"day1 - day7",7,-100%
"Jonah 1:1-2 - Jonah the Prophet | Jonah",https://broJacobcedargrovebaptist.podbean.com/e/jonah-the-prophet/,https://mcdn.podbean.com/mf/web/khmbfw/01_Jonah_the_Prophet8l40j.mp3,2023-08-06,0,"day1 - day7",7,-100%
"Why Christmas Came",https://broJacobcedargrovebaptist.podbean.com/e/why-christmas-came/,https://mcdn.podbean.com/mf/web/cr72mw/Why_Christmas_Came7sggv.mp3,2023-12-24,4,"day1 - day7",7,-42.86%
"What He Desires and Why We Give it",https://broJacobcedargrovebaptist.podbean.com/e/what-he-desires-and-why-we-give-it/,https://mcdn.podbean.com/mf/web/n8d6am/What_He_Desires_and_Why_We_Give_it6gqve.mp3,2023-12-24,4,"day1 - day7",7,-42.86%
"God’s Christmas List - Steadfastness",https://broJacobcedargrovebaptist.podbean.com/e/god-s-christmas-list-steadfastness/,https://mcdn.podbean.com/mf/web/92qf8u/God_s_Christmas_List_-_Steadfastness8ipr5.mp3,2023-12-17,3,"day1 - day7",7,-57.14%
"God Honoring Health",https://broJacobcedargrovebaptist.podbean.com/e/god-honoring-health/,https://mcdn.podbean.com/mf/web/xv8pv4/God_Honoring_Health8q8ve.m4a,2023-12-17,7,"day1 - day7",7,0%
"Small Adjustments Make Big Changes",https://broJacobcedargrovebaptist.podbean.com/e/small-adjustments-make-big-changes/,https://mcdn.podbean.com/mf/web/2khcum/Small_Adjustments_Make_Big_Changes8dsx5.mp3,2023-12-10,13,"day1 - day7",7,85.71%
"Stand Up In the Battle",https://broJacobcedargrovebaptist.podbean.com/e/stand-up-in-the-battle/,https://mcdn.podbean.com/mf/web/xfcuxu/Stand_Up_In_the_Battle6uxam.mp3,2023-11-26,0,"day1 - day7",7,-100%
"The Indifferent Man of God",https://broJacobcedargrovebaptist.podbean.com/e/the-indifferent-man-of-god/,https://mcdn.podbean.com/mf/web/jbgecz/The_Indifferent_Man_of_Godbllqf.mp3,2023-08-20,0,"day1 - day7",7,-100%
"All the Difference Part 3 | Joseph",https://broJacobcedargrovebaptist.podbean.com/e/all-the-difference-part-3/,https://mcdn.podbean.com/mf/web/m5gpyk/03_All_the_Difference.mp3,2022-01-26,0,"day1 - day7",7,-100%
"In Your Family Part 3 (Family Problems)",https://broJacobcedargrovebaptist.podbean.com/e/in-your-family-part-3-family-problems/,https://mcdn.podbean.com/mf/web/jwh223/07_In_Your_Family_Part_3_Family_Problems_71dqm.mp3,2023-11-19,18,"day1 - day7",7,157.14%
"In Your Family Part 2 (Family Problems)",https://broJacobcedargrovebaptist.podbean.com/e/in-your-family-part-2-family-problems/,https://mcdn.podbean.com/mf/web/hw9yqp/06_In_Your_Family_Part_2_Family_Problems_685gm.mp3,2023-11-12,18,"day1 - day7",7,157.14%
"In Your Family Part 1 (Family Problems)",https://broJacobcedargrovebaptist.podbean.com/e/in-your-family-family-problems/,https://mcdn.podbean.com/mf/web/zkt48n/05_In_Your_Family_Family_Problems_9dj2x.mp3,2023-11-05,0,"day1 - day7",7,-100%
Repentance,https://broJacobcedargrovebaptist.podbean.com/e/repentance/,https://mcdn.podbean.com/mf/web/buzqse/230827_Repentance.mp3,2023-08-27,0,"day1 - day7",7,-100%
"Signs of a Repentant Prophet",https://broJacobcedargrovebaptist.podbean.com/e/signs-of-a-repentant-prophet/,https://mcdn.podbean.com/mf/web/cavx3j/05_Signs_of_a_Repentant_Prophet.mp3,2023-09-03,0,"day1 - day7",7,-100%
"The Selfish Prophet",https://broJacobcedargrovebaptist.podbean.com/e/the-impact-of-saying-yes-to-god/,https://mcdn.podbean.com/mf/web/e7ntyx/The_Selfish_Prophet.mp3,2023-09-17,0,"day1 - day7",7,-100%
Recommissioned,https://broJacobcedargrovebaptist.podbean.com/e/recommissioned/,https://mcdn.podbean.com/mf/web/6kpgkm/2300910_Recomissioned.mp3,2023-09-10,0,"day1 - day7",7,-100%
"Never Forget",https://broJacobcedargrovebaptist.podbean.com/e/what-is-the-church/,https://mcdn.podbean.com/mf/web/v3iy6s/231029_Never_Forget.mp3,2023-10-29,15,"day1 - day7",7,114.29%
"Setting the Table",https://broJacobcedargrovebaptist.podbean.com/e/setting-the-table/,https://mcdn.podbean.com/mf/web/cbfx3s/01_Setting_the_Table.mp3,2023-09-24,0,"day1 - day7",7,-100%
"Healing a Broken Marriage Part 1",https://broJacobcedargrovebaptist.podbean.com/e/20231008/,https://mcdn.podbean.com/mf/web/5aggta/03_Healing_a_Broken_Marriage_Part_1.mp3,2023-10-08,0,"day1 - day7",7,-100%
"Healing a Broken Marriage Part 2",https://broJacobcedargrovebaptist.podbean.com/e/20231022/,https://mcdn.podbean.com/mf/web/acu86z/04_Healing_a_Broken_Marriage_Part_2.mp3,2023-10-22,12,"day1 - day7",7,71.43%
